1;Afghanistan
2;Albania
3;Antarctica
4;Algeria
5;American Samoa
6;Andorra
7;Angola
8;Antigua and Barbuda
9;Azerbaijan
10;Argentina
11;Australia
12;Austria
13;Bahamas
14;Bahrain
15;Bangladesh
16;Armenia
17;Barbados
18;Belgium
19;Bermuda
20;Bhutan
21;Bolivia, Plurinational State of
22;Bosnia and Herzegovina
23;Botswana
24;Bouvet Island
25;Brazil
26;Belize
27;British Indian Ocean Territory
28;Solomon Islands
29;Virgin Islands, British
30;Brunei Darussalam
31;Bulgaria
32;Myanmar
33;Burundi
34;Belarus
35;Cambodia
36;Cameroon
37;Canada
38;Cabo Verde
39;Cayman Islands
40;Central African Republic
41;Sri Lanka
42;Chad
43;Chile
44;China
45;Taiwan, Province of China
46;Christmas Island
47;Cocos (Keeling) Islands
48;Colombia
49;Comoros
50;Mayotte
51;Congo
52;Congo, the Democratic Republic of the
53;Cook Islands
54;Costa Rica
55;Croatia
56;Cuba
57;Cyprus
58;Czechia
59;Benin
60;Denmark
61;Dominica
62;Dominican Republic
63;Ecuador
64;El Salvador
65;Equatorial Guinea
66;Ethiopia
67;Eritrea
68;Estonia
69;Faroe Islands
70;Falkland Islands (Malvinas)
71;South Georgia and the South Sandwich Islands
72;Fiji
73;Finland
74;Åland Islands
75;France
76;French Guiana
77;French Polynesia
78;French Southern Territories
79;Djibouti
80;Gabon
81;Georgia
82;Gambia
83;Palestine, State of
84;Germany
85;Ghana
86;Gibraltar
87;Kiribati
88;Greece
89;Greenland
90;Grenada
91;Guadeloupe
92;Guam
93;Guatemala
94;Guinea
95;Guyana
96;Haiti
97;Heard Island and McDonald Islands
98;Holy See
99;Honduras
100;Hong Kong
101;Hungary
102;Iceland
103;India
104;Indonesia
105;Iran, Islamic Republic of
106;Iraq
107;Ireland
108;Israel
109;Italy
110;Côte d'Ivoire
111;Jamaica
112;Japan
113;Kazakhstan
114;Jordan
115;Kenya
116;Korea, Democratic People's Republic of
117;Korea, Republic of
118;Kuwait
119;Kyrgyzstan
120;Lao People's Democratic Republic
121;Lebanon
122;Lesotho
123;Latvia
124;Liberia
125;Libya
126;Liechtenstein
127;Lithuania
128;Luxembourg
129;Macao
130;Madagascar
131;Malawi
132;Malaysia
133;Maldives
134;Mali
135;Malta
136;Martinique
137;Mauritania
138;Mauritius
139;Mexico
140;Monaco
141;Mongolia
142;Moldova, Republic of
143;Montenegro
144;Montserrat
145;Morocco
146;Mozambique
147;Oman
148;Namibia
149;Nauru
150;Nepal
151;Netherlands
152;Curaçao
153;Aruba
154;Sint Maarten (Dutch part)
155;Bonaire, Sint Eustatius and Saba
156;New Caledonia
157;Vanuatu
158;New Zealand
159;Nicaragua
160;Niger
161;Nigeria
162;Niue
163;Norfolk Island
164;Norway
165;Northern Mariana Islands
166;United States Minor Outlying Islands
167;Micronesia, Federated States of
168;Marshall Islands
169;Palau
170;Pakistan
171;Panama
172;Papua New Guinea
173;Paraguay
174;Peru
175;Philippines
176;Pitcairn
177;Poland
178;Portugal
179;Guinea-Bissau
180;Timor-Leste
181;Puerto Rico
182;Qatar
183;Réunion
184;Romania
185;Russian Federation
186;Rwanda
187;Saint Barthélemy
188;Saint Helena, Ascension and Tristan da Cunha
189;Saint Kitts and Nevis
190;Anguilla
191;Saint Lucia
192;Saint Martin (French part)
193;Saint Pierre and Miquelon
194;Saint Vincent and the Grenadines
195;San Marino
196;Sao Tome and Principe
197;Saudi Arabia
198;Senegal
199;Serbia
200;Seychelles
201;Sierra Leone
202;Singapore
203;Slovakia
204;Viet Nam
205;Slovenia
206;Somalia
207;South Africa
208;Zimbabwe
209;Spain
210;South Sudan
211;Sudan
212;Western Sahara
213;Suriname
214;Svalbard and Jan Mayen
215;Swaziland
216;Sweden
217;Switzerland
218;Syrian Arab Republic
219;Tajikistan
220;Thailand
221;Togo
222;Tokelau
223;Tonga
224;Trinidad and Tobago
225;United Arab Emirates
226;Tunisia
227;Turkey
228;Turkmenistan
229;Turks and Caicos Islands
230;Tuvalu
231;Uganda
232;Ukraine
233;Macedonia, the former Yugoslav Republic of
234;Egypt
235;United Kingdom
236;Guernsey
237;Jersey
238;Isle of Man
239;Tanzania, United Republic of
240;United States of America
241;Virgin Islands, U.S.
242;Burkina Faso
243;Uruguay
244;Uzbekistan
245;Venezuela, Bolivarian Republic of
246;Wallis and Futuna
247;Samoa
248;Yemen
249;Zambia
